,price
id,-0.0591977403522618
host_listings_count,0.1719299638970518
accommodates,0.437756240669439
price,1.0
guests_included,0.21180587009778815
extra_people,0.028703300009875022
minimum_nights,0.020053908842304728
maximum_nights,-0.005497652849135393
availability_30,0.13210012522267928
availability_60,0.11257689752388925
availability_90,0.09852607174296463
availability_365,0.03669410552826095
number_of_reviews,-0.09642705760760045
calculated_host_listings_count,0.1618551380286788
bathrooms,0.2480032001734267
bedrooms,0.3852274279942339
beds,0.3697773665852463
cleaning_fee,0.29932043278068327
review_scores_rating,-0.07304267389137512
review_scores_accuracy,-0.08170150154623307
review_scores_cleanliness,-0.0627478515510281
review_scores_checkin,-0.08956463485721317
review_scores_communication,-0.0891544664721164
review_scores_location,-0.062596960006778
review_scores_value,-0.08625796685766156
reviews_per_month,-0.13568641044295598
